;;;STATUS OF FIXED PRICE PROJECTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Month report :;;;;;februar 2016;;Drilling : 2 533 NOK/hour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PM;;ADD new projects at end of list !;;;;;Maritime : 3 119 NOK/hour;;;;;;;;;;;;;;;;2016 INVOICING PLAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016 HOURS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comments;Contract year;Status;PM;Product;Vessel Type;Consolidate;Maconomy ID;Project name;Intra Company (X);Description;Revenue per hour (TNOK);Revenue (TNOK);Total hours;Hours costs (TNOK);Expenses (TNOK);Total cost (TNOK);Gross Margin (TNOK);% Gross Margin;%  Completion;Invoicing (TNOK);% Invoiced;Contract types;Description;Check;TOTAL (TNOK);Jan16;Feb16;March16;April16;May16;June16;July16;Aug16;Sept16;Oct16;Nov16;Dec16;Jan17;Feb17;March17;April17;May17;June17;July17;Aug17;Sept17;Oct17;Nov17;Dec17;2,018;2,019;2,020;2,021;Over 2021;Description;TOTAL;Before 2016;2,016;2,017;2,018;2,019;2,020;2,021;Over 2021;Check;Risk of delay (months);Total Hours;Before 2016;Jan16;Feb16;March16;April16;May16;June16;July16;Aug16;Sept16;Oct16;Nov16;Dec16;Jan17;Feb17;March17;April17;May17;June17;July17;Aug17;Sept17;Oct17;Nov17;Dec17;2018;2,019;2,020;2,021;Over 2021;;
;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;4;4;5;4;4;5;4;4;5;4;4;5;4;4;5;4;4;5;4;4;5;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.01-31.01;01.02-28.02;29.02-03.04;04.04-01.05;02.05-29.05;30.05-03.07;04.07-31.07;01.08-28.08;29.08-02.10;03.10-30.10;31.10-27.11;28.11-31.12;01.01-29.01;30.01-26.02;27.02-02.04;03.04-30.04;01.05-28.05;29.05-02.07;03.07-30.07;31.07-27.08;28.08-01.10;02.10-29.10;30.10-26.11;27.11-31.12;;;;;;;
;;;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;0;0;0;0;0
;;Open;Petar;PMS;MODU;;;;;BUDGET/Planlegging;3.684;2,947 ;800 ;(672);;(672);2,275 ;77.2 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;PMS;MODU;DSME H3617;2201215; 6045 DSME H3617 ;;FCST/Prognose ;3.395;2,947 ;868 ;(776);;(776);2,171 ;73.7 %;;;;40-30-20-10;FCST Invoices;0 ;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;868 ;868 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;;868 ;868 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0 
;;Open;Petar;PMS;MODU;;;;;ACTUAL;3.397;2,947 ;868 ;(786);;(786);2,161 ;73.3 %;101.2 %;2,947 ;100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;PMS;MODU;;;;;Rest;;0 ;1 ;10;0;10;10 ;;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;DRILL;MODU;;;;;BUDGET/Planlegging;2.599;11,436 ;4,400 ;(3,696);0;(3,696);7,740 ;67.7 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;DRILL;MODU;Songa Cat D BN3031/3034;220126701; 7012 Songa Cat D BN3034 ;;FCST/Prognose;4.347;15,236 ;3,500 ;(3,277);(20);(3,297);11,939 ;78.4 %;;;;30-50-10-10;FCST Invoices;0 ;10,665 ;;;7,618 ;;;1,524 ;1,524 ;;;;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;3,500 ;973 ;2,527 ;0 ;0 ;0 ;0 ;0 ;0 ;-0.3;4 ;3,500 ;973 ;519 ;486 ;100 ;300 ;400 ;400 ;50 ;50 ;50 ;50 ;50 ;73 ;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;DRILL;MODU;;;;;ACTUAL;4.352;8,612 ;1,977 ;(1,853);(8);(1,861);6,751 ;78.4 %;56.4 %;4,571 ;30%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;DRILL;MODU;;;;;Rest;;6,625 ;1,523 ;(1,424);(12);(1,436);5,189 ;;;10,665 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;Einar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Einar;BOP;MODU;;;;;BUDGET/Planlegging;1.992;2,614 ;1,312 ;(1,102);0;(1,102);1,512 ;57.8 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
